,Nom,Code postal,Commune,Code insee,Longitude,Latitude,GeoPoint,Type
0,Refuge Agnel,5350,Molines-en-Queyras,5077,6.971472,44.690642,"44.690642,6.971472",Hébergement
1,Refuge Buffère,5100,Névache,5093,6.570826,45.012814,"45.012814,6.570826",Hébergement
2,Refuge Adèle Planchard,5480,Villar d'Arène,5181,6.344776,44.968839,"44.968839,6.344776",Hébergement
3,AUBERGE DE JEUNESSE LES CAMELIAS,6000,Nice,6088,7.269038,43.701884,"43.701884,7.269038",Hébergement
4,Chabournéou,5800,La Chapelle-en-Valgaudemar,5064,6.3215,44.812478,"44.812478,6.3215",Hébergement
5,Sunêlia Les Logis d'Orres,5200,Les Orres,5098,6.555018,44.500171,"44.500171,6.555018",Hébergement
6,Refuge de Basse Rua,5600,Guillestre,5065,6.72192,44.62172,"44.62172,6.72192",Hébergement
7,Refuge de l'Aigle,5320,La Grave,5063,6.324338,45.011208,"45.011208,6.324338",Hébergement
8,Chalance,5800,La Chapelle-en-Valgaudemar,5064,6.236694,44.841401,"44.841401,6.236694",Hébergement
9,Refuge des Merveilles,6430,Tende,6163,7.451824,44.057442,"44.057442,7.451824",Hébergement
10,Refuge de la Blanche,5350,Saint-Véran,5157,6.941649,44.666506,"44.666506,6.941649",Hébergement
11,L'Olan,5800,La Chapelle-en-Valgaudemar,5064,6.204389,44.841386,"44.841386,6.204389",Hébergement
12,Résidence de Tourisme Le Hameau des Écrins,5290,Puy-Saint-Vincent,5110,6.482172,44.818146,"44.818146,6.482172",Hébergement
13,Refuge Laval,5100,Névache,5093,6.529996,45.057614,"45.057614,6.529996",Hébergement
14,Résidence de Tourisme La Dame Blanche,5290,Puy-Saint-Vincent,5110,6.482692,44.816944,"44.816944,6.482692",Hébergement
15,Refuge de la Cime,5600,Ceillac,5026,6.803039,44.644133,"44.644133,6.803039",Hébergement
16,Résidence le Parc aux Étoiles,5290,Puy-Saint-Vincent,5110,6.481072,44.816632,"44.816632,6.481072",Hébergement
17,Village de vacances le Graffionier CCE Air France,83580,Gassin,83065,6.555677,43.217503,"43.217503,6.555677",Hébergement
18,CASTEL ARABEL,6600,Antibes,6004,7.111075,43.573502,"43.573502,7.111075",Hébergement
19,Résidence Vallon Paradis,4800,Gréoux-les-Bains,4094,5.892064,43.76142,"43.76142,5.892064",Hébergement
20,Refuge des Bans,5340,Vallouise-Pelvoux,5101,6.361153,44.834428,"44.834428,6.361153",Hébergement
21,Vallonpierre,5800,La Chapelle-en-Valgaudemar,5064,6.289587,44.798556,"44.798556,6.289587",Hébergement
22,Au Vialaou,5100,Névache,5093,6.604883,45.019073,"45.019073,6.604883",Hébergement
23,Gîte d'étape et de séjour Saint Pierre,4240,Le Fugeret,4090,6.642099,44.003357,"44.003357,6.642099",Hébergement
24,Refuge du Chardonnet,5100,Névache,5093,6.532031,45.025858,"45.025858,6.532031",Hébergement
25,Résidence L'Edelweiss,5800,La Chapelle-en-Valgaudemar,5064,6.195285,44.816903,"44.816903,6.195285",Hébergement
26,Les Chalets de Bois Méan,5200,Les Orres,5098,6.552567,44.483988,"44.483988,6.552567",Hébergement
27,Les Souffles,5800,Villar-Loubière,5182,6.146475,44.844714,"44.844714,6.146475",Hébergement
28,Pierre et Vacances Premium Les Rives de Cannes Mandelieu,6210,Mandelieu-la-Napoule,6079,6.943906,43.535151,"43.535151,6.943906",Hébergement
29,Refuge de l'Olan,5800,La Chapelle-en-Valgaudemar,5064,6.204428,44.841523,"44.841523,6.204428",Hébergement
30,Refuge du Glacier Blanc,5340,Vallouise-Pelvoux,5101,6.41164,44.937545,"44.937545,6.41164",Hébergement
31,Résidence de Tourisme Les Gentianes,5290,Puy-Saint-Vincent,5110,6.480804,44.817705,"44.817705,6.480804",Hébergement
32,Résidence Les Prés ronds,5800,La Chapelle-en-Valgaudemar,5064,6.195285,44.816903,"44.816903,6.195285",Hébergement
33,Résidence Les Oulles,5800,La Chapelle-en-Valgaudemar,5064,6.195285,44.816903,"44.816903,6.195285",Hébergement
34,Les Cristallines - Groupe Popinns,5170,Orcières,5096,6.32864,44.696534,"44.696534,6.32864",Hébergement
